,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
819,-0.07221915354663577,0.015029320559695726,0.012304117455582969,-0.014659480227298717,0.0028995519509020734,0.03444693411229648,0.02965459441065251,-0.004129742085907032,-0.026493372522810782,0.0,-0.0445207325361476,-0.006181207331708091,-0.0007974753691634176,0.01690236178849164,-0.0005854069759689755,0.0
33,-0.06212705620980177,-0.016742652501135373,0.0028217352775778896,-0.009887297213173404,0.007770971381791113,0.04991239611553575,0.014152018481140994,0.008603778146703427,-0.007156061354526708,0.0,-0.14502659420744984,-0.03459633817709213,-0.019218651509881307,-0.014465512158174222,-0.010817503687655843,0.0
31,-0.06347847463858479,-0.012813290662128964,0.0012866918387002392,-0.009012741977826273,0.007492875958482369,0.05059637318497091,0.010181561769995571,-0.005642484795854351,-0.007317243359389728,0.0,-0.14669546948322937,-0.036641658430287376,-0.01708812808963858,-0.017064753856102444,-0.011767495702547764,0.0
436,-0.035690559784311,0.01946609459684797,-0.004267806497029992,0.0007686327339018194,0.003589682629363898,-0.014765588929740793,-0.008843484223686627,-0.01937114567506686,-0.023806086265367198,0.0,-0.05471472939718249,-0.029132696978424726,9.219290922786845e-05,-0.01664862375265954,-0.0032834225157158665,0.0
281,0.10831692588097189,0.05763721245315948,-0.013598448617466688,0.023100147181619162,-0.0030743628573486727,-0.014527790337856072,4.479055775098596e-05,-0.005990212694885954,0.006442901100835125,0.0,-0.18166474513894643,0.00955635947214191,-0.004304550183178897,0.015621453198111267,-0.00541919587259001,0.0
554,-0.03597076429903719,-0.04641454817425677,-0.0029031514979836032,-0.0023745494027822777,0.0027848287078591845,0.016525458214075205,0.016113217860057042,-0.00029603262369844657,-0.0317777626367203,0.0,-0.031643452100562325,-0.004526556058520803,0.010928140869288732,0.026252784421433924,0.022321635152978178,0.0
542,-0.06319094275193211,-0.01981168303495275,-0.0030224038754547004,-0.014375883687926463,0.0026299312535295613,0.021190906842980396,0.0283113384716992,0.0014758602184172793,-0.031944382993675406,0.0,0.03787474149075058,0.006414030471121186,0.013562449558972131,0.02927865182660331,0.024795803708972494,0.0
215,0.11042854522302026,-0.08850666609016133,-0.00020743101897808345,-0.006187647440023899,0.007227237077026748,0.052357067105090985,0.0024131178980007118,-0.006649031480492703,-0.005604980732489311,0.0,-0.15930824841228605,-0.009116416520859713,-0.011155756671675328,-0.0220610385890154,0.00023612186599133804,0.0
718,-0.06731908107849384,-0.012846551435985874,0.006500792495464318,0.0020050888280601174,0.003463180578853575,0.012112940735485835,-0.013181824656882276,0.0028175479954563104,0.02959335084167112,0.0,-0.036386427994260506,-0.0019281978691762516,0.0037013378879898365,0.01607943415206656,-0.0017217524301026148,0.0
405,0.07666097916194384,-0.04386468769366635,0.009305445949392581,0.006343203416530958,0.0020398474809387806,0.014294131125163983,-0.0021777867003795917,-0.0013741569826016653,0.023040271023501084,0.0,-0.08797865669548081,0.002210590747652402,0.012493230979485822,-0.02692037326880921,-0.00403781443841643,0.0
72,-0.07584694789684444,-0.025271418595652344,0.00040270836221631575,0.012468985113596433,-0.0047439434588635795,-0.006310503582535223,0.0068180858486193326,0.005902124821700462,0.019049143323660218,0.0,-0.03264443292448663,-0.011987078157393673,0.011908746445799048,-0.02127218219655135,-0.001631860298525709,0.0
