Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,Workpiece,Filename,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T,time_s
G0,0.0,0.0,0.0,0.0,0.0,0.030550613322826225,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,2.8449419859999994,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.031847630601872394,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,2.32436449,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03139276706275704,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,2.094332556,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.031547021682263435,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,1.837049452,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03534703144689693,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,1.5192527240000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03397878139615292,0.0037002083333333327,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,1.4294841640000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03702036175196476,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,1.283610256,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.041006464204491964,0.0037002083333333327,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.8828577520000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03962353960444602,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.678874734,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.04104955019128048,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,0.45645710000000006,0.024
